depth,d13c,total_c,d15n,total_n,dry_weight,year
0.2,-27.57,806.49,3.05,64.21,8.2,2007.2535250666247
0.4,-27.67,949.33,3.01,73.26,7.6,2006.5096518503292
0.8,-27.63,1305.52,2.93,93.25,11.6,2004.9413265212947
1.2,-27.62,1136.04,2.33,86.09,9.6,2003.2687051921116
1.6,-27.48,1028.27,2.09,93.8,10.9,2001.4955588969112
2,-27.39,809.91,2.66,79.98,9.9,1999.6256586698241
2.8,-27.61,951.59,2.25,91.6,11.4,1995.610680556514
3.2,-27.7,1515.39,2.71,138.5,18,1993.4731447385527
3.6,-27.59,1471.39,2.82,129.67,15,1991.253939125228
4,-27.43,1449.35,2.73,113.82,15,1988.9568347506718
4.4,-27.29,780.31,2.46,67.61,7.7,1986.5856026490142
4.8,-26.99,1733.92,2.29,157.84,19.4,1984.1440138543858
5.2,-26.93,733.57,2.17,68.75,9.9,1981.6358394009185
5.6,-27.02,938.03,2.4,87.75,13.8,1979.0648503227421
6,-27.17,1160.66,2.25,107.38,13.6,1976.4348176539886
6.4,-27.05,1020.39,2.17,95.44,11.2,1973.7495124287882
6.8,-26.92,1144.99,2.45,103.6,12.9,1971.0127056812719
7.2,-26.77,635.18,2.21,58.22,8.1,1968.2281684455706
7.6,-26.75,1068.75,2.79,92.7,12.4,1965.399671755815
8,-26.88,890.5,2.82,74.38,10.8,1962.5309866461366
8.4,-26.77,974.17,3.17,76.62,10.9,1959.6258841506656
8.8,-26.45,779.18,3.4,62.5,8.6,1956.6881353035333
9.2,-26.18,662.68,3.46,53.23,6.5,1953.7215111388705
9.6,-26.42,698.16,3.75,55.59,9.5,1950.729782690808
10,-27.46,887.1,3.83,71.57,11.3,1947.7167209934769
10.4,-26.69,880.3,3.93,69.31,10.1,1944.684497791464
10.8,-26.29,890.5,3.81,70.44,9.6,1941.6259455379397
11.2,-26.36,605.35,4,46.93,7.9,1938.5305162635682
11.6,-26.25,1097.93,4.32,79.42,13.2,1935.387657336363
12,-26.28,1088.96,4.08,81.09,14.6,1932.1868161243367
12.4,-26.23,864.43,3.85,65.91,11.9,1928.9174399955032
12.8,-26.23,986.58,3.84,77.18,12.3,1925.568976317875
13.2,-26.59,479.83,3.91,39.01,10.2,1922.1308724594655
13.6,-26.45,866.69,4.02,68.75,10.9,1918.5925757882874
14,-26.44,742.7,4.04,60.22,8.5,1914.9435336723543
14.4,-26.41,1001.24,3.96,81.65,10.9,1911.1731934796785
14.8,-26.47,866.69,3.99,72.13,11,1907.271002578274
15.2,-26.66,788.29,4,64.78,9.1,1903.2264083361533
16,-26.89,890.5,3.94,72.69,12.4,1894.6677993018168
16.4,-26.77,1003.49,3.94,83.31,12.6,1890.1326792456268
16.8,-26.63,927.86,4.01,77.18,12.6,1885.4129453207734
17.2,-26.59,629.45,3.89,52.36,7.1,1880.498044895269
17.6,-26.61,396.51,3.87,32.97,5.6,1875.3774253371275
18,-26.77,779.18,3.98,63.07,9.3,1870.0405340143618
18.4,-26.82,642.06,3.86,54.78,8.4,1864.4768182949847
18.8,-26.94,1015.88,3.89,87.19,13.1,1858.6757255470093
19.2,-26.55,563.97,3.69,47.57,6.5,1852.626703138449
19.6,-26.84,615.68,3.84,54.26,7.4,1846.3191984373166
